Genus	species	shorthand	Gram	Genome Size (Mbps)	Median Genome Size (bps)	Median G/C content	Median Proteins Count	NCBI taxID	Genus NCBI taxon ID
Salmonella	enterica	S.enterica	-	4.79	4796990	52.1	4617	28901	590
Serratia	marcescens	S.marcescens	-	5.17	5172050	59.9	4755	615	613
Serratia	nematodiphila	S.nematodiphila	-	5.50	5203980	59.5	4764	458197	613
Shigella	flexneri	S.flexneri	-	4.57	4577070	50.5	4362	623	620
Shigella	sonnei	S.sonnei	-	4.67	4668030	50.7	4237	624	620
Sphingobium	sp.SYK-6	S.sp. SYK-6	-	4.75	4759200	63.5	4335	627192	165695
Sphingomonas	elodea	S.elodea	-	4.39	4389080	67.15	3938	179878	#N/A
Sphingomonas	sp.MM-1	S.sp. MM-1	-	4.00	4000850	65.9	3640	745310	13687
Sphingomonas	wittichii	S.wittichii	-	5.62	5628890	67.8	4928	160791	13687
Staphylococcus	argenteus	S.argenteus	+	2.79	2794750	32.3	2616	985002	1279
Staphylococcus	aureus	S.aureus	+	2.85	2856130	32.8	2790	1280	1279
Staphylococcus	chromogenes	S.chromogenes	+	2.31	2310830	36.7	2160	46126	1279
Staphylococcus	epidermidis	S.epidermidis	+	2.53	2535420	31.9	2373	1282	1279
Staphylococcus	haemolyticus	S.haemolyticus	+	2.51	2507950	32.7	2346	1283	1279
Staphylococcus	hominis	S.hominis	+	2.25	2253320	31.4	2117	1290	1279
Staphylococcus	massiliensis	S.massiliensis	+	2.37	2366590	36.5	2149	555791	1279
Staphylococcus	saprophyticus	S.saprophyticus	+	2.62	2616410	33	2420	29385	1279
Staphylococcus	simulans	S.simulans	+	2.66	2660040	36	2468	1286	1279
Staphylococcus	vitulinus	S.vitulinus	+	2.58	2577280	32.5	2465	71237	1279
Staphylococcus	warneri	S.warneri	+	2.55	2552320	32.6	2381	1292	1279
Stenotrophomonas	maltophilia	S.maltophilia	-	4.6	4606510	66.4	4216	40324	40323
Yersinia	pestis	Y.pestis	-	4.57	4572130	47.6	3999	632	629
